ctcname,labcode,lparm,pfizer_loinc_name,aeterm,aeptcd,aedecod,lab_test
ANEMIA,1,hgb,hemoglobin,anemia,10002034,Anaemia,"hemoglobin, hgb"
CHRONIC KIDNEY DISEASE,49,creat_cl,creatinine clearance,chronic kidney disease,10064848,Chronic kidney disease,creatinine clearance
CHRONIC KIDNEY DISEASE,464,glom_filt_rate,glomerular filtration rate,chronic kidney disease,0,na,glomerular filteration rate
HEMOGLOBIN INCREASED,1,hgb,hemoglobin,hemoglobin increased,0,na,"hemoglobin, hgb"
Hyperbilirubinemia,21,bili_tot,bilirubin (total),hyperbilirubinemia,10020578,Hyperbilirubinaemia,bilirubin total
HYPERCALCEMIA,58,ca,calcium,"hypercalcemia, blood calcium increased",10020583,Hypercalcaemia,calcium
HYPERCALCEMIA,209,ca_ion,ionized calcium,hypercalcemia,0,na,ionized calcium
Hypercholesterolemia,63,chol_ran,cholesterol,"hypercholesterolemia, cholesterol high, high cholesterol, blood cholesterol increased, blood cholesterol",10020603,Hypercholesterolemia,total choleterol
Hypercholesterolemia,1478,chol_fast,cholesterol (fasting),hypercholesterolemia,0,na,fasting cholesterol
Hypercreatinemia,48,creat,creatinine,"hypercreatinemia, creatinine increased, blood creatinine increased, blood creatinine",10005483,Blood creatinine increased,creatine
HYPERGLYCEMIA,67,gluc_fast,glucose (fasting),hyperglycemia,0,na,fasting glucose
HYPERGLYCEMIA,68,gluc_ran,glucose,"hyperglycemia, blood glucose increased",10020635,Hyperglycaemia,glucose
HYPERKALEMIA,55,k,potassium,"hyperkalemia, blood potassium increased",10020646,Hyperkalaemia,potassium
HYPERMAGNESEMIA,199,mg,magnesium,"hypermagnesemia, blood magnesium increased",10020669,Hypermagnesaemia,magnesium
HYPERNATREMIA,54,na,sodium,"hypernatremia, blood sodium increased",10020679,Hypernatraemia,sodium
HYPERTRIGLYCERIDEMIA,64,tg_ran,triglycerides,hypertriglyceridemia,10020869,Hypertriglyceridaemia,triglycerides
HYPERTRIGLYCERIDEMIA,1479,tg_fast,triglycerides (fasting),hypertriglyceridemia,0,na,fasting triglycerides
HYPOALBUMINEMIA,25,alb,albumin,"hypoalbuminemia, blood albumin decreased ",10020942,Hypoalbuminaemia,albumin
Hypobicarbonatemia,57,hco3,bicarbonate,hypobicarbonatemia,0,na,bicarbonate
HYPOCALCEMIA,58,ca,calcium,"hypocalcemia, blood calcium decreased",10020947,Hypocalcaemia,calcium
HYPOCALCEMIA,209,ca_ion,ionized calcium,hypocalcemia,0,na,ionized calcium
HYPOGLYCEMIA,67,gluc_fast,glucose (fasting),hypoglycemia,0,na,fasting glucose
HYPOGLYCEMIA,68,gluc_ran,glucose,"hypoglycemia, blood glucose decreased",10020993,Hypoglycaemia,glucose
HYPOKALEMIA,55,k,potassium,"hypokalemia, blood potassium decreased",10021015,Hypokalaemia,potassium
HYPOMAGNESEMIA,199,mg,magnesium,"hypomagnesemia, blood magnesium decreased",10021027,Hypomagnesaemia,magnesium
HYPONATREMIA,54,na,sodium,"hyponatremia, blood sodium decreased",10021036,Hyponatraemia,sodium
HYPOPHOSPHATEMIA,59,phosphate,phosphate,"hypophosphatemia, blood phosphorus decreased",10021058,Hypophosphataemia,"phosphate, phosphorus"
Increased ALT,30,alt,alanine aminotransferase (alt),"increased alt, alanine aminotransferase increased",10001551,Alanine aminotransferase increased,"alanine aminotranferase, alt"
Decreased ALT,0,alt,alanine aminotransferase (alt),"decreased alt, alanine aminotransferase decreased",10001549,Decreased ALT,"alanine aminotranferase, alt"
Increased Amylase,219,amylase_s,amylase,"increased amylase, serum amylase increased, amylase increased",10002016,Amylase increased,amylase
Decreased amylase,0,0,0,decreased amylase,10002014,Decreased amylase,amylase
Increased AP,35,ap,alkaline phosphatase,"increased ap, alkaline phosphatase increased, blood alkaline phosphatase increased, blood alkaline phosphatase",10059570,Blood alkaline phosphatase increased,alkaline phosphatase
Increased AST,28,ast,aspartate aminotransferase (ast),"increased ast, aspartate aminotransferase increased",10003481,Aspartate aminotransferase increased,"asparate aminotransferase, ast"
Decreased AST,0,ast,aspartate aminotransferase (ast),"decreased ast, aspartate aminotransferase decreased",10003479,Decreased AST,"asparate aminotransferase, ast"
Increased CK,29,ck,creatine kinase,"increased ck, ck increased, cpk increased, creatine phosphokinase increased, blood creatine phosphokinase increased",10005470,Blood creatine phosphokinase increased,creatine kinase
Increased Fibrinogen,136,fbgn,fibrinogen,increased fibrinogen,0,na,fibrinogen
Increased GGT,31,ggt,gamma glutamyl transferase (ggt),"increased ggt, gamma glutamyltransferase increased",10017693,Gamma-glutamyltransferase increased,"gamma glutamyl transferase, ggt"
