"id","account_id","name","type","description","version","active","created_by","created_at","updated_at","query_text","display_fields","fn_config"
40,1,AEDR0,Subcat,"Action Taken with Study Treatment [AEACTSN] = Not Applicable  None
 BUT
 Reason for Modification  Interruption  Delay (EXOMIDRE) =Adverse Event with consistent AE Identifier ( [EXOADAE1 or EXOADAE2 or EXOADAE3 or EXOADAE4 or EXOADAE5] = [AESPID])
 OR
 Reason for Dose Reduction from the Previous Cycle (EXORE) =Adverse Event with consistent AE identifier (EXOREAE1=AESPID)
 OR
 Reason for Dose InterruptionDiscontinuationReduction in the Current Cycle (EXOADJ)=Adverse Event with consistent AE identifier (EXOADAE1=AESPID)",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AEDR0,"",""
41,1,AEDR1,Subcat,"Action Taken with Study Treatment [AEACTSN] = Not Applicable
 BUT
 Dosing records indicate that study drug is still being taken during this time, AE falls between start date of first dose and end date of last dose",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AEDR1,"",""
42,1,AEDR2,Subcat,"Action Taken with Study Treatment [AEACTSN] <> Not Applicable or None
 BUT
 Dosing records indicate that study drug is not taken during this time, AE stopped prior to first dose or occurred after last dose
 
 NOTE: If last dose date is within previous 2 months from model run date AND AE Start date is > last dose date then do not raise a prediction (to allow for appropriate data entry)",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AEDR2,"",""
43,1,AEDR3,Subcat,"Action Taken with Study Treatment [AEACTSN] = Dose Reduced  Drug InterruptedDelayed
 BUT
 No dosing records indicate with Reason for Modification  Interruption  Delay (EXOMIDRE)=Adverse Event with consistent AE Identifier ( [EXOADAE1 or EXOADAE2 or EXOADAE3 or EXOADAE4 or EXOADAE5] = [AESPID] )
 OR
 Reason for Dose Reduction from the Previous Cycle (EXORE) =Adverse Event with consistent AE identifier (EXOREAE1=AESPID)
 OR
 Reason for Dose InterruptionDiscontinuationReduction in the Current Cycle (EXOADJ)=Adverse Event with consistent AE identifier (EXOADAE1=AESPID)",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AEDR3,"",""
64,1,DROV3,Subcat,"Between dose records (looking at start and stop dates) there are gaps
 
 Note: Only applicable for daily drug administration study",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,DROV3,"",""
77,1,MHCM1,Subcat,"MHTERM=CMINDC and CMDU=Pre-existing Medical Condition 
 AND
 Start date of CM (CMSTDAT) is prior to start date of corresponding MH (MHSTDAT)",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,MHCM1,"",""
44,1,AEDR5,Subcat,"Action Taken with Study Treatment [AEACTSN] = Dose Reduced  Drug InterruptedDelayed
 AND
 Dosing records indicate with Reason for Modification  Interruption  Delay (EXOMIDRE) =Adverse Event with consistent AE Identifier ( [EXOADAE1 or EXOADAE2 or EXOADAE3 or EXOADAE4 or EXOADAE5] = [AESPID] )
 OR
 Reason for Dose Reduction from the Previous Cycle (EXORE) =Adverse Event with consistent AE identifier (EXOREAE1=AESPID)
 OR
 Reason for Dose InterruptionDiscontinuationReduction in the Current Cycle (EXOADJ)=Adverse Event with consistent AE identifier (EXOADAE1=AESPID)
 BUT
 AE Start Date [AESTDAT] is after Dose Start Date [ECSTDAT] OR AE End Date [AEENDAT] is prior to Dose Start Date [ECSTDAT]
 
 Note: If Start Date of Dose Interruption  Dose Reduction (EXOSMDAT) is present, do not consider Start date (EXOSTDAT).",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AEDR5,"",""
76,1,CMMH0,Subcat,Drug Usage (CMDU)=2 (Pre-exist ing Medical Condition) BUT corresponding indication is not present in MHTERM.,1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,CMMH0,"",""
67,1,DRAE2,Subcat,"Dosing records indicate with Reason for Modification  Interruption  Delay (EXOMIDRE) =Adverse Event 
 OR
 Reason for Dose Reduction from the Previous Cycle (EXORE) =Adverse Event
 OR
 Reason for Dose InterruptionDiscontinuationReduction in the Current Cycle (EXOADJ)=Adverse Event
 AND
 Dose record contains AE Identifier
 [EXOADAE1 or EXOADAE2 or EXOADAE3 or EXOADAE4 or EXOADAE5] or [EXOREAE1]
 BUT
 No Adverse Events reported (log empty)",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,DRAE2,"",""
39,1,AEOV3,Subcat,"One or more adverse event with same AETERM and AEDECOD, different toxicity grades and have overlapping start and stop date ranges i.e. events should be sequential
 
 *One day overlapping is acceptable, for example, AE end date (previous) = AE start date (Current)",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AEOV3,"{""AE1"": [""AESPID"",""AETERM"", ""AESTDAT"", ""AEENDAT"", ""AEONGO"", ""AETOXGR""], ""AE2"": [""AESPID"",""AETERM"", ""AESTDAT"", ""AEENDAT"", ""AEONGO"", ""AETOXGR""]}","{""tox_term"" : {""AETOXGR"" : ""str"", ""AESEV"":""int""}}"
1,1,AECM0,Subcat,"Intervention (Procedure, Surgery, Concomitant Medications) (AECONTRT)=CONMEDS or YES
 AND
 Concomitant medication form entered
 BUT
 No CM records indicate with same Indication CMINDC=AETERM",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,AECM0,"{""AE"": [""AETERM"", ""AESPID"", ""AEDECOD"", ""AESTDAT"", ""AEENDAT"", ""AETOXGR"", ""AECMGIV""]}","{""match"" : { ""prim_match_col"" : ""AETERM"", ""sec_match_col"" : ""CMINDC"", ""str_match"" :""contains"",""match_type"":""text""}, ""AE_REF_ID"" : [""AENO"", ""AEREFID"", ""AEREFNO""]}"
83,1,MHOV2,Subcat,"One or more Medical history with same MHTERM and MHDECOD, same toxicity grades if collected but have overlapping start and stop date  ongoing ranges i.e. events should be sequential
 
 *If Toxicity Grade is not collected on the study overlapping adverse event predictions will show as MHOV2",1,true,2,2022-04-06 15:15:04.637,2022-04-06 15:15:04.637,MHOV2,"{""MH"":[""MHSTDAT"", ""MHENDAT"", ""MHTERM"", ""MHTERM_PT"", ""MHTOXGR""]}",""
