study_id,deeplink
C4591015,https://pfizer-inform.oracleindustry.com/C4591015/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C4591007,https://pfizer-inform.oracleindustry.com/C4591007/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C4481001,https://pfizer-inform.oracleindustry.com/C4481001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3391005,https://pfizer-inform.oracleindustry.com/C3391005/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
PFE6324,https://pfizer-inform.oracleindustry.com/PFE6324UAT/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3421008,https://pfizer-inform.oracleindustry.com/C3421008/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3671008,https://pfizer-inform.oracleindustry.com/C3671008/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C2541013,https://pfizer-inform.oracleindustry.com/C2541013/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7471014,https://pfizer-inform.oracleindustry.com/B7471014/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B9991027,https://pfizer-inform.oracleindustry.com/B9991027/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C4591031,https://pfizer-inform.oracleindustry.com/C4591031/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B8011007,https://pfizer-inform.oracleindustry.com/B8011007/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3881001,https://pfizer-inform.oracleindustry.com/C3881001/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B7981016,https://pfizer-inform.oracleindustry.com/B7981016/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3291035,https://pfizer-inform.oracleindustry.com/C3291035/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
B9991040,https://pfizer-inform.oracleindustry.com/B9991040/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
C3421005,https://pfizer-inform.oracleindustry.com/C3421005/pfts.dll?S=2313B74C678711d29DAD00A0C9769FD8&c=TM_29&si={siteno}&ip={subjid};{visit_id}!{visit_ix};{form_id}!{form_index}
